k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.4332816617822694,0.10867675022746415,0.1802032602594515,0.4332816617822694,0.004948774888163068,0.4332816617822694,0.004948774888163068,0.10757704266362336,0.10757704266362336,0.10867675022746415
2,0.5384478413031234,0.31142499186347977,0.1853831907989178,0.5294613858868413,0.009938328463242349,0.5294613858868413,0.009938328463242349,0.27222484065956276,0.18512982245014792,0.31142499186347977
3,0.6204740405766174,0.35045900806011326,0.19028429889462886,0.5380757566168375,0.014780150614335751,0.5380757566168375,0.014780150614335751,0.39931929105965513,0.30498883011094197,0.3775625855446795
4,0.6620201222367803,0.4073531385950483,0.2778373045232997,0.5415640754560723,0.01873980061218085,0.5415640754560723,0.01873980061218085,0.4690796792084478,0.33633752606809575,0.5286501384697229
5,0.7175060793188461,0.47579902079068415,0.28446810239478404,0.5439603083692546,0.02347676402985241,0.5439603083692546,0.02347676402985241,0.4985151384717085,0.4395663545004166,0.5471064061460673
6,0.7670096024098052,0.5187029625873427,0.3135158155663744,0.5447788991340347,0.033552601555307114,0.5447788991340347,0.033552601555307114,0.5153085977915853,0.48604153767688546,0.5486242929952475
7,0.8325296199420855,0.5234321032728266,0.36335577275217645,0.5456721683662128,0.047115831564703683,0.5452562731451348,0.0440267216028014,0.5184172982151768,0.5035941282385215,0.5493984273090159
8,0.8919656512731149,0.5286756079555233,0.4604520802658994,0.5459968512016753,0.057873062415137635,0.5459968512016753,0.050119368208147684,0.5280142507126266,0.5126182673187518,0.5511856773523239
9,0.9338549846455463,0.5321147871631243,0.49439043269659705,0.5465646265863089,0.06285001172944027,0.5465646265863089,0.06285001172944027,0.5297682025007724,0.5182956322102885,0.551748750758572
10,0.9697730051940809,0.5335656157955333,0.5285404140794088,0.5468458384454771,0.0791208179296623,0.5468458384454771,0.0791208179296623,0.5304105052591243,0.5263856139072134,0.5550738142389623
11,1.000000000062902,0.5353212102549537,0.5328779744868845,0.5470434488343217,0.08177746628462082,0.5470434488343217,0.08177746628462082,0.5315800879507653,0.529799543001776,0.5520685187200799
12,1.0000000000755704,0.5375849377062425,0.5381701222679464,0.5472701664633498,0.08404874251416582,0.547401960485946,0.08404874251416582,0.5318910014215126,0.5387456712171144,0.556378478354727
13,1.0000000000755704,0.5402585209950477,0.5400695493910099,0.5476026667202841,0.10366010547034593,0.5476026667202841,0.0964299573208299,0.5321128814111097,0.5442989561029434,0.5563293847977979
14,1.0000000000755704,0.5405696434583458,0.5453200157904979,0.5478620422485762,0.13709754485931996,0.5478620422485762,0.11286765166285832,0.5331504365487026,0.5451239888625755,0.555669152810293
15,1.0000000000755704,0.5411427007795333,0.5490068111521903,0.5484609096935528,0.15821501430581847,0.5540621394797826,0.13083126333476103,0.5339980913686504,0.5455203297033135,0.5555654694834641
16,1.0000000000755704,0.5418221689009435,0.552205966674737,0.5528827094292186,0.17114429577491466,0.5542825762302694,0.16461334366991567,0.5344291293213616,0.545700550792007,0.5610786973585853
17,1.0000000000755704,0.5426235427142206,0.5645056440218956,0.556544898015727,0.18541907517045314,0.556544898015727,0.18541907517045314,0.5349455265368172,0.5606666195700879,0.5605337453567807
18,1.0000000000755704,0.5433525442450989,0.5646340571949401,0.5565731075245681,0.18751488846165673,0.5565568111980483,0.18751488846165673,0.5385986617170844,0.5620796743387765,0.5578275935922626
19,1.0000000000755704,0.5436468660846429,0.5647436954512388,0.55658398881203,0.2001216305529625,0.55658398881203,0.2001216305529625,0.5507595913050415,0.5714379387856314,0.5578699161891408
20,1.0000000000755704,0.5524924346958957,0.5659745707938574,0.5566278616653293,0.21224886979742696,0.5566278616653293,0.207305964105783,0.5605146686329819,0.5715023085665359,0.5590226218473231
