k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,2.7900909,0.01678960000000007,0.02142989999999978,0.11115109999999984,0.06929639999999981,0.1596464000000002,0.09861880000000012,0.09571500000000022,0.08620189999999939,0.13592530000000025
2,15.2510336,0.050964799999999144,0.03138350000000045,0.1989339000000001,0.07524550000000119,0.1821401999999992,0.0763190999999992,0.10536180000000073,0.10483199999999826,0.1158114000000019
3,34.515103999999994,0.03718899999999792,0.021321200000002705,0.24949210000000477,0.0806663000000043,0.2509100999999987,0.0794033999999968,0.13496310000000022,0.11773999999999774,0.10549590000000109
4,61.818251999999994,0.05472679999999741,0.035651700000002506,0.37596139999999423,0.08682690000000548,0.31455140000001336,0.08749240000000214,0.19263139999999623,0.14760569999999973,0.12796489999999494
5,99.2744062,0.058074300000015455,0.029581700000022693,0.3713103999999987,0.09763459999999213,0.3759732999999983,0.0969505000000197,0.24204050000000166,0.19252660000000787,0.13825879999998847
6,121.47937110000004,0.0631793000000016,0.03272930000002816,0.43690850000001547,0.10434770000000526,0.43393890000004376,0.10580260000000408,0.29951570000002903,0.2946898999999803,0.16455019999995102
7,147.3328848,0.06317310000002863,0.03905819999999949,0.49581560000001446,0.1151487000000202,0.49921089999998003,0.11320709999995415,0.3593380000000366,0.2994458000000009,0.19170339999999442
8,181.12642950000003,0.07500149999998484,0.05525379999994584,0.8066301000000067,0.12451360000000022,0.5539264999999887,0.12062720000005811,0.41575799999998253,0.35551699999996345,0.15655260000005455
9,229.82891040000004,0.07480809999992744,0.05880250000006981,0.6145906999998942,0.13179600000000846,0.6160281999999597,0.14979559999994763,0.5682924000000185,0.41234880000001795,0.1344110999999657
10,278.83154820000016,0.060959899999943445,0.04696270000022196,0.6677432000001318,0.14206979999994473,0.6718048000000181,0.14297430000010536,0.548580199999833,0.4680186999999023,0.1470125000000735
11,514.287223,0.07781269999986762,0.04417079999984708,0.7324969000001147,0.14982420000001184,0.7951898999999685,0.2539326000000983,0.6396911000001637,0.5264023999998244,0.15566309999985606
12,361.4826144000001,0.07577220000030138,0.04100270000026285,0.8624201000002358,0.16616500000009182,0.9546476000000439,0.16052429999990636,0.696859300000142,0.5877356999999392,0.1344042000000627
13,366.8357079000002,0.058848199999829376,0.04116080000039801,0.848994699999821,0.17224960000021383,0.8447035999997752,0.17270989999997255,0.7625735999999961,0.6431007999999565,0.13076219999993555
14,375.39503990000003,0.058395000000018626,0.03865619999987757,0.9114012000000002,0.18022160000009535,0.9094175000000178,0.1794531000000461,0.8285353999999643,0.7039424999998118,0.13867889999983163
15,384.3169591999999,0.05843490000006568,0.038568799999666226,1.0244848000002094,0.19022270000004937,0.9551732000004449,0.18747110000003886,0.8955928000000313,0.9176069999998617,0.1318276000001788
16,395.17054199999984,0.05769080000027316,0.038659199999983684,1.0702748999997311,0.20204310000008263,1.166070000000218,0.19861600000012913,0.9626735000001645,0.822051300000112,0.13414600000032806
17,398.94184859999996,0.05708869999989474,0.03831799999989016,1.2791234999999688,0.21238390000007712,1.0688313000000562,0.2112120000001596,1.0265856000000895,0.8822607000001881,0.1351161000002321
18,733.9756716000006,0.05903729999954521,0.03707329999997455,1.1190879000005225,0.22389689999999973,1.1209729000001971,0.2202676999995674,1.1755808999996589,1.0470593000000008,0.18162759999995615
19,415.8161306000002,0.05818020000060642,0.030850199999804317,1.1928299000001061,0.23354709999966872,1.1988205999996353,0.23010080000040034,1.4241262000005008,1.0212638000002698,0.12925799999993615
20,428.83873289999974,0.11347759999989648,0.05767900000046211,1.3666109000005235,0.2421317000007548,1.2243319000008341,0.3064031000003524,1.3140080999992279,1.3565188000002308,0.1308439999993425
