k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.07402236276210984,0.07402236276210984,0.005816399586496827,0.07402236276210984,0.005816399586496827,0.07402236276210984,0.005816399586496827,0.07402236276210984,0.07402236276210984,0.07402236276210984
2,0.224973170296145,0.224973170296145,0.013033814124451096,0.224973170296145,0.013033814124451096,0.224973170296145,0.013033814124451096,0.0799161772032626,0.09684804472811444,0.224973170296145
3,0.34501824420270166,0.3099703855375679,0.020503323824023808,0.3099703855375679,0.020503323824023808,0.3099703855375679,0.020503323824023808,0.08360493918167669,0.11393273734975681,0.34501824420270166
4,0.3967048448162293,0.34501824412226156,0.026838508298704673,0.34501824412226156,0.026838508298704673,0.34501824412226156,0.026838508298704673,0.08360493918167668,0.13062120182954043,0.34501824412226156
5,1.0000000000131597,1.0000000000131597,0.03216301982206003,1.0000000000131597,0.03216301982206003,1.0000000000131597,0.03216301982206003,0.08763988862572564,0.1467087637596628,1.0000000000131597
6,1.000000000013275,1.0000000000131597,0.04067218462875262,1.000000000013275,0.04067218462875262,1.0000000000131597,0.04067218462875262,0.34501824412226134,0.15011788353600558,1.000000000013275
7,1.000000000013393,1.0000000000131597,0.04964868974079593,1.000000000013393,0.04964868974079593,1.0000000000131597,0.04964868974079593,0.3450182441222613,0.1523016341954088,1.000000000013393
8,1.000000000013512,1.0000000000131597,0.056802844709187894,1.000000000012363,0.056802844709187894,1.0000000000131597,0.056802844709187894,0.3450182441222616,0.16913600881162136,1.000000000013512
9,1.0000000000136349,1.0000000000121483,0.06287019678400284,1.000000000012474,0.06287019678400284,1.0000000000121483,0.06287019678400284,0.3450182441222613,0.1853187511568082,1.0000000000136353
10,1.000000000013759,1.0000000000111362,0.0714679574052518,1.0000000000114337,0.0714679574052518,1.0000000000111362,0.0714679574052518,0.3450182441222613,0.20043526239776016,1.000000000013759
11,1.0000000000138831,1.000000000010123,0.07718294543649067,1.0000000000115368,0.07718294543649067,1.000000000010123,0.07718294543649067,0.3450182441222614,0.21383559539415023,1.0000000000138847
12,1.0000000000140132,1.0000000000091107,0.08193934218412292,1.0000000000116416,0.08193934218412292,1.0000000000091107,0.08193934218412292,0.3450182441222612,0.22473774541999925,1.0000000000140132
13,1.0000000000141442,1.0000000000323936,0.08589215666149519,1.0000000000117493,0.08589215666149519,1.0000000000323936,0.08589215666149519,0.3450182441222613,0.23270748634391433,1.0000000000141442
14,1.0000000000142786,1.0000000000283435,0.09540844718176207,1.0000000000118563,0.09540844718176207,1.0000000000283435,0.09540844718176207,0.3450182441222613,0.23807293659764023,1.0000000000142781
15,1.0000000000144131,1.000000000024295,0.09908874146938873,1.0000000000119682,0.09908874146938873,1.000000000024295,0.09908874146938873,0.3450182441222613,0.2415984053580859,1.0000000000144131
16,1.0000000000145512,1.0000000000202458,0.10215642162698951,1.0000000000120801,0.10215642162698951,1.0000000000202458,0.10215642162698951,1.0000000000202458,0.27969359766319685,1.0000000000145515
17,1.0000000000146927,1.0000000000161973,0.11166954896566697,1.0000000000121956,0.11166954896566697,1.0000000000161973,0.11166954896566697,1.0000000000161973,0.29535291063693536,1.0000000000146931
18,1.0000000000148361,1.0000000000121483,0.12046781766147804,1.000000000012313,0.12046781766147804,1.0000000000121483,0.12046781766147804,1.0000000000121483,0.2993596209276433,1.0000000000148361
19,1.000000000014985,1.0000000000323936,0.12855019451540575,1.000000000012433,0.12855019451540575,1.0000000000323936,0.12855019451540575,1.0000000000323939,0.30295021778683195,1.0000000000149831
