k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.5231484999999999,0.00996140000000012,0.006653199999999915,0.06546420000000008,0.05764440000000004,0.05200340000000003,0.06824110000000005,0.048008199999999945,0.046913800000000005,0.19670639999999984
2,1.4049035999999997,0.006767400000000201,0.003303899999999693,0.05350540000000015,0.06423990000000002,0.12404899999999985,0.10778909999999975,0.1091072999999998,0.11792829999999999,0.12059959999999981
3,2.0156720000000004,0.018811599999999373,0.003634500000000429,0.0720679000000004,0.048469299999999826,0.10664319999999972,0.10134040000000066,0.1297554999999999,0.1506829999999999,0.12300110000000064
4,4.4694327000000005,0.009426599999999397,0.009036700000001119,0.10830230000000007,0.08826420000000113,0.16249449999999932,0.10663920000000005,0.12208590000000008,0.0756130000000006,0.06466190000000083
5,4.536283299999999,0.006190700000001215,0.004809800000000308,0.1385405999999989,0.13655100000000076,0.1222715999999977,0.10927870000000084,0.11314489999999822,0.14990370000000297,0.10893089999999717
6,5.0636876000000015,0.010546200000000283,0.009699100000002403,0.18392579999999725,0.10136230000000168,0.11551170000000255,0.07164350000000042,0.0882206000000032,0.13719009999999798,0.1234573999999995
7,5.509171000000002,0.009520700000003046,0.009182400000000257,0.23939400000000077,0.14969259999999807,0.21514230000000012,0.13784459999999754,0.07865939999999938,0.10270020000000102,0.12382399999999905
8,5.775155099999999,0.009222700000002249,0.009518199999995147,0.20149960000000533,0.1602850000000018,0.1869237999999953,0.11526999999999532,0.08433829999999887,0.13095500000000015,0.08120449999999835
9,6.832691199999999,0.010787499999999284,0.010406299999999646,0.20637169999999827,0.07866369999999989,0.18934500000000298,0.08219980000000504,0.07736650000000367,0.11642839999999666,0.11664569999999941
10,7.2610930999999965,0.01090409999999764,0.010285799999998346,0.250374800000003,0.10433139999999952,0.12734350000000205,0.08734120000000445,0.12932819999999623,0.23367379999999827,0.11774330000000077
11,7.065910500000001,0.004907700000003956,0.004934399999996231,0.12020229999999543,0.1585302000000013,0.10314089999999965,0.08630500000000296,0.13255560000000344,0.22887200000000263,0.05945100000000281
12,8.229774700000007,0.004634499999994546,0.005163400000000706,0.13234830000000386,0.1806511999999998,0.18925179999999386,0.17574859999999148,0.16645120000001157,0.1843211999999994,0.06430980000000375
13,8.48075829999999,0.007655599999992546,0.007455900000010729,0.22578969999999288,0.17167190000000687,0.12178699999999765,0.10776939999999513,0.1864087000000012,0.23669340000000716,0.08947050000000445
14,9.079425700000002,0.009977400000011016,0.012300100000004477,0.17662899999999127,0.14647539999999992,0.19164389999998832,0.16732540000000995,0.15048110000000747,0.2569859999999977,0.060932699999995066
15,9.628438400000007,0.00493889999999908,0.005573500000011222,0.11323500000000308,0.15029900000000396,0.13841650000000527,0.11613099999999577,0.18772690000000125,0.2229261999999892,0.09640509999999836
16,9.737267099999997,0.009816400000005387,0.011627300000000673,0.26139630000000125,0.21156840000000443,0.27280269999999973,0.10857049999999902,0.10565689999999961,0.37859060000000966,0.10642930000000206
17,9.659862000000004,0.013381300000006036,0.012105699999992225,0.13227360000000488,0.11014240000000086,0.2116220999999996,0.22567019999999616,0.20656290000000865,0.2772018000000003,0.06480109999999684
18,9.808564000000004,0.010961199999997007,0.013779099999993605,0.20523229999997739,0.1372384000000011,0.1866386000000091,0.12988839999999868,0.13693799999998646,0.2538260999999977,0.07706540000000928
19,10.6471473,0.004456699999991542,0.0061897999999871445,0.13964419999999222,0.1464343000000099,0.12484770000000367,0.2226835999999821,0.12478110000000697,0.2096104999999966,0.107071899999994
