k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.06277405077165074,0.06370089505556438,0.02678282531601118,0.0846851947890383,0.01222920835446578,0.0846851947890383,0.01222920835446578,0.06277405077165074,0.06277405077165074,0.06370089505556438
2,0.13511953530227636,0.10130922386543546,0.09565079796597858,0.09953643972708442,0.028788870889275734,0.09953643972708442,0.028788870889275734,0.09033314058623167,0.06989711906991801,0.09740751954167498
3,0.30882923966877585,0.13591218258333454,0.14061242104484084,0.10525301955930681,0.0375927729687749,0.10525301955930681,0.0375927729687749,0.09914621417520562,0.15349161742884743,0.11091606045924397
4,0.35785610582059035,0.15214384416798357,0.29269708097134967,0.10635775653813433,0.08303000308260523,0.10635775653813433,0.05560531907684172,0.10556587331788798,0.15712218247712229,0.11173609018571821
5,0.42249452532738024,0.154023523652985,0.30843233806925846,0.365650049785561,0.11079008422441038,0.365650049785561,0.06375416501989378,0.3630055462866286,0.16226811641226913,0.10859766329452786
6,0.49681899862700324,0.15558875630958946,0.36527032088053335,0.3666954730785721,0.15009238261195673,0.3666954730785721,0.08278887346797002,0.36877910322687874,0.2455261036482678,0.15528358479585938
7,0.5409297961971364,0.1558325485407215,0.47120854025678527,0.4887998993478979,0.18477593713877252,0.3676004791017122,0.0966106954794205,0.3844822287053647,0.29363967256058526,0.12157105960872161
8,0.5478775575044819,0.15634621858519293,0.4723003736007758,0.5570361960354795,0.22709962647470094,0.4890939377706658,0.10807098497147605,0.3952814606911326,0.32061151998019644,0.19591228422708584
9,0.5556496322166058,0.19865475885330888,0.595185702508385,0.5570710118889195,0.25155929963435303,0.5570710118889195,0.13596833973631284,0.47545764854867595,0.40762306740101645,0.19696209507206044
10,0.567388833731763,0.31900521440093577,0.6135839947029165,0.5570866370604733,0.25155929963435303,0.5571241216674939,0.15909828279617155,0.49161021428601737,0.41918034531759474,0.20132085457117582
11,0.5855819696422576,0.31902939502222866,0.6270491861029323,0.585786437709397,0.27090565973024266,0.5571249968180999,0.2094420888854715,0.5154355463361445,0.42809314560348116,0.20137499577054974
12,0.5857865227330525,0.31989929357934127,0.627049186102932,0.5857864376883879,0.3069494124332301,0.5571485809985901,0.23910221360671208,0.517586747446287,0.5339673448048946,0.4699886467084738
13,0.5861012116040076,0.3201234038266296,0.6441478920364071,0.5857864377096756,0.31916955771399924,0.5857864377132207,0.2885759109656665,0.5782831074104126,0.5345466299121122,0.45806170784369515
14,0.6322738897551191,0.3201234296190225,0.6442299125706588,0.5857864376929931,0.3376707017144179,0.5857864376961194,0.3376707017144179,0.5787301245379731,0.5346402788392373,0.5590132738492481
15,0.6655767972532024,0.3310879114765477,0.6454937010164725,0.5857864376926899,0.36729661946670417,0.5857864376922308,0.3857921533149542,0.5897727290806002,0.5617425815479281,0.5322289485972084
16,0.6885893946255127,0.33108791860980097,0.6454937010164727,0.5857864376913309,0.4121524714036089,0.58578643769066,0.4121524714036089,0.5958204682454532,0.5617859683490061,0.4801172034648611
17,0.7226758041310323,0.33108791904466106,0.779093787350018,0.5857864376920356,0.4164994297750322,0.58578643769066,0.4164994297750322,0.595825531634368,0.5617859683490063,0.5346977759991846
18,0.7309744605917629,0.3310879660823051,0.837638788521742,0.58578643769066,0.5264972661339834,0.58578643769066,0.4242291381087764,0.5969423795991525,0.5618127599966206,0.5427095609638733
19,0.7355633026036036,0.3310879660907063,0.8376387885200928,0.5857864376895999,0.5568351029146942,0.585786437690482,0.49674078198635857,0.5969449483794347,0.5618194315406831,0.5427164362939804
20,0.7380930259470107,0.331087966278744,0.8380441955766657,0.5857864376895857,0.5916286541908611,0.5857864376763398,0.6099137305898914,0.5969843134209352,0.5639206952262198,0.5566090614078445
21,0.7541779341155751,0.5408310402558959,0.8551046058638281,0.5857864376757845,0.7024207417199424,0.585786437675336,0.695985927824924,0.597895991546397,0.5639210423998183,0.5566200610336067
22,0.826649647814667,0.5408310402771161,0.8597782606975275,0.5857864376546654,0.8636052065648645,0.585786437675336,0.7024230226064111,0.6082694133900367,0.5639211579625831,0.7417352931423417
23,0.8299262591021045,0.5408312535755461,0.8597782606975275,0.5857864376546654,0.9712182881460037,0.5857864376753064,0.7476414035022114,0.6082694138910661,0.5639211764293025,0.7418827380983424
24,0.8312992751310948,0.542129107601864,0.8597782607009222,0.5857864376546654,1.073745973923383,0.5857864376748775,0.7887762226823711,0.614856780874129,0.5639211764293025,0.7418827380983424
25,0.8843662340188359,0.5468611164734434,0.8617138985539682,0.5857864376546654,1.091107708749082,0.5857864376743535,0.9635643198163442,0.6148567950525968,0.5639213083433081,0.7464863924558368
26,1.0000000031524656,0.5468611164734434,0.8630400180202225,0.5857864376563295,1.1168817197456617,0.5857864376694791,1.2081263210198585,0.7114195095987732,0.5857864376595088,0.746486479213067
27,1.0000000031975693,0.5468611164651926,0.8675731642487572,0.5857864376563295,1.1213433825195538,0.5857864376563451,1.28068771343444,0.7114195414332708,0.5857864376595089,0.7464864800243871
28,1.000000003208379,0.5468611164651768,0.8679683535141441,0.5857864376563295,1.1270641527975578,0.5857864376563451,1.3611632871889774,0.712167868502623,0.585786437658005,0.7637696957866779
29,1.000000003208379,0.5468611164651768,0.8679683534867612,0.5857864376563295,1.1379985367181151,0.5857864376563344,1.6108313384014736,0.7121678684998699,0.5857864376577938,0.7637706899777594
30,1.000000003208379,0.5468611164644704,0.8679683534867612,0.5857864376563295,1.1407809377729459,0.5857864376563295,1.720178337638177,0.7121678684931861,0.5857864376555697,0.76875120682251
31,1.000000003208379,0.5499621987824982,1.0000000000698395,0.5857864376563295,1.3730289599752097,0.5857864376563295,1.754389140609971,0.7283922193153646,0.5857864376555663,0.7689505006743335
