k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.18357689999999993,0.003290200000000021,0.0024254999999999693,0.023592100000000005,0.021686399999999995,0.023033199999999976,0.021844999999999892,0.02328590000000008,0.02347689999999991,0.10838360000000002
2,0.3305313999999999,0.005418600000000051,0.0038916999999998314,0.027100499999999972,0.02405249999999981,0.03220869999999998,0.024261000000000088,0.026854900000000015,0.027263000000000037,0.08147009999999999
3,0.5490492000000002,0.005238199999999971,0.004171100000000205,0.03014500000000009,0.02732840000000003,0.02999200000000002,0.027464900000000014,0.030980799999999586,0.031034599999999912,0.07036439999999988
4,0.9234194000000002,0.005397199999999991,0.007743199999999728,0.03265859999999998,0.03027869999999977,0.0385017999999997,0.029636599999999902,0.0343517999999996,0.03496850000000018,0.0701988
5,1.6827876999999996,0.004693399999999848,0.007258100000000489,0.04004519999999978,0.03414260000000002,0.04055070000000072,0.0320746999999999,0.04470889999999983,0.03861139999999974,0.07732600000000023
6,1.9978958000000002,0.004009400000000163,0.0102329000000001,0.04587360000000018,0.038854199999999395,0.04595130000000047,0.035713699999999626,0.05419770000000046,0.042954800000000404,0.07117569999999951
7,3.5722789000000006,0.003869700000000975,0.015779800000000677,0.057438400000000556,0.04393510000000056,0.05169949999999979,0.038427799999999124,0.06311709999999948,0.04993589999999948,0.06851190000000074
8,5.7814186,0.0034032999999986657,0.012736799999998993,0.07941350000000114,0.04836609999999908,0.060767800000000705,0.04149590000000103,0.07211540000000127,0.05584670000000003,0.06516889999999975
9,8.233695700000002,0.0036714999999993836,0.01016740000000027,0.09323009999999954,0.05397240000000281,0.12803819999999888,0.10255949999999814,0.1856591999999999,0.14544739999999834,0.07182919999999982
10,10.590568799999996,0.006737699999995073,0.010501900000001285,0.21255090000000365,0.13170839999999373,0.1841924000000006,0.08320239999999757,0.10010280000000193,0.07762610000000336,0.05719560000000001
11,16.846228600000003,0.0053343999999952985,0.010216299999996181,0.11534959999999472,0.06141850000000204,0.0941303999999974,0.052226999999994916,0.10854819999999421,0.08517379999999974,0.07200799999999674
12,38.3562806,0.005254600000000664,0.010410399999997821,0.1280149000000108,0.06579539999999895,0.10328810000000033,0.05766780000000438,0.11775989999999581,0.12489469999999869,0.07030740000000435
13,53.77840429999999,0.008097199999980376,0.015913000000011834,0.21935579999998822,0.09170869999999809,0.11298199999998815,0.06612470000001736,0.13256960000001072,0.16133240000002047,0.06433499999999981
14,54.01706859999999,0.005237899999997353,0.016868500000015274,0.2441032999999777,0.1339413000000036,0.15140870000001883,0.07040100000000393,0.14194320000001426,0.19923049999999876,0.10472210000000359
15,56.98635340000001,0.005219000000010965,0.009334899999998925,0.19825600000001486,0.09503979999999501,0.14588829999996733,0.07280919999999469,0.15374750000000859,0.23867469999999003,0.07549660000000813
