k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.03618572184193188,0.03618572184193188,0.01676334840015952,0.03618572184193188,0.01676334840015952,0.03618572184193188,0.01676334840015952,0.03618572184193188,0.03618572184193188,0.03618572184193188
2,0.05099687560140386,0.0361857218404445,0.024119567676264324,0.0361857218404445,0.024119567676264324,0.0361857218404445,0.024119567676264324,0.03618572184193188,0.03618572184193188,0.05099687560140386
3,0.05739087815315142,0.08816664700968649,0.027772221976347104,0.08816664700968649,0.027772221976347104,0.08816664700968649,0.027772221976347104,0.03618572184193188,0.0361857218404445,0.050996875584372825
4,0.05764293543367191,0.08816664700968647,0.029834812142205014,0.08816664700673484,0.029834812142205014,0.08816664700968647,0.029834812142205014,0.03618572184041429,0.036185721840460115,0.08816664700968647
5,0.08816664701054194,0.0881666470085195,0.03060039917220753,0.21002827384383843,0.03060039917220753,0.08816664700672928,0.03060039917220753,0.03618572184041429,0.03789398812162793,0.12772378715303215
6,0.13356806260044338,0.08816664700851408,0.03419778889897741,0.23598507496754867,0.03116016703203244,0.21002827383090036,0.03419778889897741,0.03986437359527636,0.04571686563895841,0.12772378715303206
7,0.17290908498398255,0.08816664700592389,0.04198019389280643,0.23598507487991857,0.034561278389743946,0.23598507487991857,0.04198019389280643,0.039864373595276364,0.05071565798331428,0.2100282738569496
8,0.17833622846140476,0.08816664700712407,0.043979531497395474,0.23598507487855055,0.04219099349295233,0.23598507487855055,0.043979531497395474,0.053589054068737124,0.05283463465747951,0.2100282738558371
9,0.267949192450635,0.17833622847054015,0.05171759692328305,0.2679491924520841,0.044159158229778186,0.2679491924520841,0.05171759692328305,0.053589054068737124,0.08816664700584789,0.2100282738558371
10,0.2679491924520841,0.1783362284524294,0.051837631075974604,0.38196601131453284,0.04532752256579378,0.2679491924520841,0.051837631075974604,0.05358905406873711,0.08816664700626475,0.2359850751676095
11,0.38196601130379476,0.38196601130379476,0.05185381962319635,0.38196601125517887,0.052250928831072435,0.38196601125405133,0.05185381962319635,0.05358905406818606,0.08816664700626477,0.23598507481564018
12,0.38196601131453284,0.38196601125405133,0.0518999791505199,0.3819660112510922,0.05233375430203215,0.38196601125517887,0.0518999791505199,0.0535890540681168,0.13006494963991083,0.3819660112523282
13,0.38196601131453284,0.38196601125517887,0.05190799479983931,0.38196601125150337,0.052345010558840846,0.38196601125517887,0.05190799479983931,0.05358905406811678,0.2679491924481609,0.38196601132166075
14,0.38196601131453284,0.3819660112551789,0.051939684124631874,0.3819660112523259,0.052359790207993584,0.38196601125109203,0.051939684124631874,0.057390877501975635,0.26794919244816096,0.3819660113216301
15,0.38196601131453284,0.3819660112510922,0.10437510199869937,0.3819660112547934,0.05238368460374702,0.3819660112515033,0.10437510199869937,0.057390877501975635,0.3819660112515855,0.3819660112523259
16,0.38196601131453284,0.38196601125150337,0.11496223780927645,1.0000000000116414,0.05238764647158265,0.38196601125232593,0.11496223780927645,0.057390877501975635,0.3819660112530661,1.0000000001734997
17,0.38196601131453284,0.38196601125150337,0.11845649168018507,1.0000000000122542,0.05238974678335856,0.3819660112547933,0.11845649168018507,0.08816664700584789,1.0000000000849156,1.0000000001837055
18,0.38196601131453284,0.38196601125232577,0.11975756721230837,1.0000000000122542,0.05241205365853745,1.0000000000116411,0.11975756721230837,0.08816664700636298,1.000000000092635,1.0000000000122542
19,0.38196601131453284,0.38196601125479335,0.2454823532831436,1.000000000012935,0.05242075550274382,1.0000000000232832,0.2454823532831436,0.08816664700636295,1.0000000001018987,1.0000000000129352
