k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.06386179999999997,0.005043699999999984,0.0027433999999999514,0.018740300000000043,0.01546970000000003,0.01886500000000002,0.014982999999999969,0.017753299999999972,0.0177659,0.06973379999999996
2,0.34147739999999993,0.002383800000000047,0.00369559999999991,0.020397199999999893,0.01869070000000006,0.020004599999999817,0.019553900000000013,0.02271359999999989,0.02248199999999989,0.07029849999999982
3,1.0257924999999999,0.00947180000000003,0.007442599999999633,0.053338099999999944,0.039511199999999747,0.046905799999999775,0.039670399999999884,0.049326199999999876,0.03221779999999974,0.04931300000000016
4,2.6115272999999997,0.005634000000000583,0.004807699999999748,0.029526599999999625,0.02685250000000039,0.03177429999999948,0.027179000000000286,0.03111210000000053,0.02814519999999998,0.05323290000000025
5,3.0763282999999992,0.0036309999999986076,0.004369499999999249,0.03925809999999963,0.03125450000000107,0.03420569999999934,0.03195170000000047,0.03256719999999902,0.029914299999999727,0.05182679999999884
6,2.9735239999999994,0.003723699999998331,0.0052965999999994295,0.06513499999999972,0.03606549999999942,0.04841329999999999,0.03727510000000045,0.035127099999998634,0.03349750000000107,0.0527628
7,3.5431665,0.0028652999999998485,0.008861999999998815,0.07967400000000069,0.041862100000001234,0.055951699999999605,0.04560419999999965,0.038481100000002044,0.039108199999997595,0.059469699999997516
8,4.299290299999999,0.0026566000000016743,0.011111299999999602,0.0915157000000022,0.05049089999999978,0.0703472000000005,0.056682999999999595,0.03997010000000145,0.03734959999999887,0.06050289999999947
9,4.398645500000001,0.0071496999999993704,0.010507600000000394,0.09831529999999944,0.06081200000000209,0.07654660000000035,0.06647399999999948,0.0438812999999989,0.03902970000000039,0.05927859999999896
10,4.4909219,0.0035158000000024003,0.007761800000000818,0.10901359999999727,0.07338980000000106,0.08334130000000073,0.07453879999999913,0.046924199999999416,0.04149140000000173,0.09432879999999955
11,4.3951278999999985,0.008636000000002753,0.007025399999996296,0.1829953999999958,0.15034960000000552,0.15498509999999754,0.10009590000000657,0.049862599999997315,0.04435970000000111,0.051994600000000446
12,4.5125685,0.002718299999997953,0.0035277999999934195,0.11275380000000013,0.09028640000000365,0.09685730000000348,0.14770440000000207,0.08329249999999888,0.08349419999999697,0.07999300000000176
13,5.049363700000001,0.002753699999999526,0.0025276000000005183,0.1352809999999991,0.16910310000000095,0.1655818999999994,0.14262279999999805,0.05699529999999697,0.05335020000000412,0.05888280000000634
14,4.7915378,0.0031354999999990696,0.0026948000000004413,0.19730040000000315,0.17882220000000615,0.14906030000000214,0.09457040000000205,0.058267100000001903,0.05926169999999331,0.0661939000000018
15,5.134577,0.004257500000001357,0.007219800000001442,0.1550988999999987,0.10932400000000086,0.10220320000000527,0.09342139999999688,0.05869440000000026,0.06191849999999732,0.05670050000000515
16,5.335356400000002,0.0032860000000027867,0.0030811000000028343,0.1255256999999972,0.11048749999999785,0.09921519999999617,0.10144719999999552,0.0622801000000095,0.06604570000000365,0.0559125999999992
17,5.469897099999997,0.003176100000004567,0.00288179999999727,0.12798630000000344,0.11308640000000025,0.10766219999999294,0.09944509999999696,0.06600610000000984,0.07059549999999604,0.05521279999999251
18,5.550927200000004,0.0028978999999935695,0.0029650999999972782,0.13583959999999706,0.11527599999999438,0.10560359999999491,0.1001344999999958,0.06615899999999897,0.07520750000000476,0.05007150000000138
19,5.74566999999999,0.003081499999993298,0.005063399999997387,0.13378529999999955,0.11739999999998929,0.10748850000000232,0.10458820000000912,0.07046990000000619,0.08148699999999565,0.05207359999999994
