k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.2253162013612262,0.2253162013612262,0.014810429275701533,0.2253162013612262,0.014810429275701533,0.2253162013612262,0.014810429275701533,0.2253162013612262,0.2253162013612262,0.2253162013612262
2,0.46258017479435704,0.25161659610664233,0.02918464645198026,0.25161659610664233,0.02918464645198026,0.25161659610664233,0.02918464645198026,0.2264014889426125,0.2653010713348601,0.22827660124272167
3,0.5895602396716909,0.2542433980393336,0.04432233474258266,0.2542433980393336,0.04432233474258266,0.2542433980393336,0.04432233474258266,0.25161659610664233,0.2672087746781938,0.2751445321502405
4,0.5975340569273686,0.25559785724204054,0.05721150040276892,0.25559785724204054,0.05721150040276892,0.25559785724204054,0.05721150040276892,0.26046254227121424,0.26841282697184654,0.27554400544427493
5,0.60424899526886,0.26268093427375083,0.07770302461616214,0.283116306901254,0.07215802476519814,0.283116306901254,0.07215802476519814,0.2653236939085446,0.2696917688128118,0.25229978660820634
6,0.6083087051761149,0.2629349975813524,0.13515063674502265,0.2834665379235089,0.08713625992420161,0.2850545310432312,0.08713625992420161,0.272915524396007,0.2704165406373303,0.25959974723226764
7,0.6146336226879309,0.28522902510764586,0.19339412577995493,0.28698177217445,0.12388425672974689,0.28522902510764586,0.1076799319152407,0.2871768233852045,0.27187604758153255,0.2874742375464356
8,0.6469648878649793,0.28797658899686557,0.20526875269839054,0.6144850192569591,0.16091626690479302,0.28797658899686557,0.12294561275343945,0.2877390041737879,0.2725381879092778,0.28980438915200185
9,0.652512151246951,0.3006982338542785,0.24960482663078626,0.6144850870613493,0.16759080462362974,0.3006982338542785,0.14338241199392135,0.2881814853548067,0.2730579260998162,0.30016463630678064
10,0.674280832080942,0.30083959568568386,0.28901211419286377,0.6144860816596732,0.21342794565233958,0.6144860816596732,0.1815426015242755,0.29992515462625696,0.2745970617205376,0.30039259536160995
11,0.7959069730124936,0.30086235658984145,0.3265742979624391,0.6478420770319645,0.25213478035332915,0.6144950095678323,0.21846911833739996,0.3013761609348464,0.2757482585974878,0.30057118377658737
12,0.8288948578452779,0.3022638609492921,0.36585505462136253,0.6478420769578779,0.2684321809321884,0.6144950095678323,0.24797105400985983,0.30159773503568216,0.27764721760317035,0.3014303388646512
13,0.9042251470067071,0.30226386094923285,0.40353306455186283,0.6481296867005703,0.2731696741007587,0.6144950095422854,0.28842260329496394,0.3018584433073469,0.2782590412291073,0.34288136249379125
14,0.9270938194500535,0.3022638609539084,0.4263250706782886,0.6481296867005704,0.3157958541623973,0.6144950094254293,0.3215219036032621,0.3020032879308899,0.40064664378309905,0.34288136249365436
15,1.0000000002985145,0.3022638609539084,0.46637154134053727,0.6481296867005704,0.36843878322654755,0.6566273207333454,0.37495475976675047,0.3021642394333182,0.7313084591008234,0.3428813624935174
16,1.0000000003118918,0.3068516199696015,0.47753446224200635,0.6481296867005704,0.4072139046565399,0.6566273207333455,0.4123707624751236,0.3022638609492921,0.7741818116917872,0.40522757480471205
17,1.000000000311892,0.30685161996823834,0.48268765500638744,0.6481296867005704,0.44291365930840554,0.6566273207333454,0.44396217330318694,0.30685161997108407,0.786727862430336,0.44068988933539394
