k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.2069997,0.01305960000000006,0.004359699999999966,0.031595700000000004,0.02420219999999995,0.028945100000000057,0.023116399999999926,0.02516699999999994,0.024882599999999977,0.059034699999999996
2,0.5171053999999999,0.009349300000000005,0.005368100000000098,0.05474289999999993,0.04214230000000008,0.04934409999999989,0.038298299999999896,0.0314276,0.031197200000000036,0.05236010000000024
3,1.0255091000000003,0.004907999999999912,0.0038279000000001062,0.03344700000000023,0.026097899999999896,0.033695199999999925,0.025895199999999896,0.03336899999999998,0.03570209999999996,0.057322500000000165
4,3.1532743,0.004595799999999706,0.0030929999999997904,0.037288600000000116,0.02827140000000039,0.03670349999999978,0.027922699999999523,0.04099409999999981,0.04105869999999978,0.0636612999999997
5,6.4663612,0.00501670000000054,0.003996900000000636,0.041829200000000455,0.04297640000000058,0.05173169999999949,0.0396497999999994,0.051168900000000406,0.056934500000000554,0.06528959999999984
6,10.668594600000002,0.00515129999999786,0.004535399999998191,0.05340649999999769,0.039457800000000987,0.050603799999997534,0.03859109999999788,0.06619000000000241,0.0591822999999998,0.05191409999999763
7,18.7538968,0.005240999999998053,0.00387800000000027,0.04998969999999758,0.037394999999996514,0.049732499999997515,0.03642820000000313,0.051987499999995634,0.05922379999999805,0.057795999999996184
8,20.378038200000006,0.004840800000010859,0.0037821999999891887,0.08703469999998958,0.041518400000001066,0.054359599999997954,0.03950919999999769,0.057307800000003795,0.05930149999998946,0.05223010000000272
9,26.005996100000004,0.005061100000006036,0.004067100000000323,0.12365180000000464,0.04514429999998981,0.058693599999998014,0.042732999999998356,0.06124579999999469,0.06603569999998626,0.05174730000000238
10,27.496151600000005,0.004817000000002736,0.004410199999995257,0.1597342000000026,0.051007699999999545,0.09413760000001048,0.04597069999999803,0.06743590000000665,0.06797610000000986,0.05166549999999859
11,28.42869859999999,0.004947100000009641,0.004393799999974135,0.1796380000000113,0.0604054000000076,0.1360362000000066,0.04996529999999666,0.07944070000002057,0.07284640000000309,0.05331479999998123
12,29.42750189999998,0.005090099999989661,0.005066600000020571,0.17558009999999058,0.05640299999998888,0.16266249999998195,0.053119600000002265,0.07465299999998365,0.07585190000000352,0.06436060000001476
13,30.2896001,0.004710700000003953,0.0051324000000079195,0.1825685999999962,0.06066329999998743,0.1948265000000049,0.05829479999999876,0.0791945999999939,0.07828049999997688,0.05148950000000241
14,32.831546799999984,0.0074109999999905085,0.00907229999998549,0.29739250000000084,0.1118567999999982,0.36043740000002344,0.08052250000000072,0.09208860000001096,0.09821039999999925,0.06132049999999367
15,36.72467080000004,0.008541600000000926,0.010314399999970192,0.2390832000000387,0.0745176000000356,0.27679030000001603,0.08838170000001355,0.14235059999998612,0.13996409999998605,0.07284680000003618
16,34.46990820000002,0.0047657000000072,0.006299399999988964,0.19767269999999826,0.07456670000004806,0.2310479000000214,0.07247380000001158,0.0923753000000147,0.10778599999997596,0.0519706000000042
17,33.82577349999997,0.003818000000023858,0.005567700000028708,0.2028376000000094,0.07979169999998703,0.23591380000004847,0.07871289999997089,0.0949907000000394,0.12281309999997347,0.05129869999996117
18,33.94819080000002,0.0036704999999983556,0.006688499999995656,0.20725149999998393,0.08945740000001479,0.24430849999998827,0.08563490000000229,0.0977872000000275,0.14528889999996863,0.05786160000002383
19,34.17799180000003,0.00397579999997788,0.00581160000001546,0.22027659999997695,0.09445709999999963,0.25555649999995467,0.09338810000002695,0.10242620000002489,0.16499219999997194,0.06025869999996303
20,35.64539440000004,0.0038299999999935608,0.007199800000023515,0.23445280000004232,0.1032966000000215,0.26680239999996047,0.10193140000001222,0.10540519999995013,0.1988918000000126,0.06126819999997224
21,35.5816734,0.0036516000000119675,0.006558400000017173,0.3365596000000437,0.25342979999999216,0.40245519999996304,0.11002869999998666,0.11117380000001731,0.23138189999997394,0.06498719999996183
22,37.343775499999936,0.0037859999999909633,0.006516400000009526,0.24934859999996206,0.12090990000001511,0.3176944999999023,0.2685883000000331,0.27292239999997037,0.2833696999999802,0.05426790000001347
23,36.088886900000034,0.0038423999999395164,0.006342600000039056,0.25374839999994947,0.12921479999999974,0.3020847000000231,0.12483069999996133,0.11781029999997372,0.3004579000000831,0.05445489999999609
24,37.138271699999905,0.0036525000000438013,0.00646510000001399,0.26186299999994844,0.13892139999995834,0.3120550999999523,0.13224829999990106,0.12275199999999131,0.3338014999999359,0.05427079999992657
25,37.490153299999974,0.003625999999940177,0.008957699999996294,0.2600039999999808,0.1413283000000547,0.3221103000000767,0.13616160000003674,0.1247812999999951,0.3647650999999996,0.054015399999912006
26,37.3825435,0.003678799999988769,0.010442699999998695,0.263082000000054,0.14999379999994744,0.33251880000000256,0.14125560000002224,0.12790000000006785,0.5078540000000658,0.058380699999929675
27,37.53461800000002,0.003629100000011931,0.011088699999959317,0.3440957000000253,0.17982649999999012,0.3451489000000265,0.1464206999999078,0.13281789999996363,0.43534630000010566,0.05336469999997462
28,40.537072100000046,0.0037787999999636668,0.010805699999991702,0.2746243000000277,0.15760769999997137,0.3583909000000176,0.15120179999996708,0.13642140000001746,0.5155397000000903,0.06697480000002543
29,38.744870499999934,0.0037770999999793275,0.011388300000021445,0.27711839999994936,0.16365080000002763,0.3739117999999735,0.15625939999995353,0.13969799999995303,0.5092575999999553,0.053733700000066165
30,39.125535199999945,0.006756399999972018,0.020971599999938917,0.4476786999999831,0.17221830000005411,0.3800257999999985,0.16354880000005778,0.1411520000000337,0.5395240000000285,0.05954379999991488
31,39.66048690000002,0.003670100000022103,0.01175019999993765,0.28466040000000703,0.17757110000002285,0.39108090000001994,0.17057379999994282,0.14402469999993173,0.5149006999999983,0.05546819999995023
32,39.977278100000035,0.006484699999987242,0.013642799999956878,0.3701297000000068,0.18724469999995108,0.3932949999999664,0.17836650000003829,0.1454451000000745,0.5176707999999053,0.05362080000008973
