k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.23321250827153642,0.23810411820116628,0.02748833030126341,0.23810411820116628,0.02748833030126341,0.23810411820116628,0.02748833030126341,0.23321250827153642,0.23321250827153642,0.23810411820116628
2,0.69722436881867,0.6972243623509524,0.08606448487650731,0.6972243623509524,0.08606448487650731,0.6972243623509524,0.08606448487650731,0.28309195810379956,0.2995130917837823,0.6972243623509524
3,0.7008883578835711,0.6972243623491465,0.13467324824250154,0.6972243623218254,0.13467324824250154,0.6972243623218254,0.13467324824250154,0.3922468335719075,0.29951309178217966,0.6972243623491465
4,0.910369333027726,0.6972243623089331,0.20848530440558305,0.6972243622984259,0.16799919465361268,0.6972243623088621,0.16799919465361268,0.3927115729921085,0.30368780023440667,0.9078179528870386
5,0.9170326889106971,0.6972243623051196,0.2396268094652311,0.6972243623088621,0.25056419518578954,0.6972243623088621,0.25056419518578954,0.3927115729921085,0.3321453607420254,0.9078179528870385
6,1.0000000059200405,0.6972243623051196,0.36008976098295575,0.6972243623054297,0.2958966598133931,0.6972243623054297,0.2958966598133931,0.4022140038859985,0.5924986794857371,0.6777788664628367
7,1.0083007645985953,0.6972243623011669,0.4437934055417708,0.6972243623054297,0.3772570652095954,0.6972243623054297,0.3772570652095954,0.46910390545518116,0.6545236826040177,0.69119297433244
8,1.2705672309642866,0.6972243623191362,0.5756742413934458,0.6972243623054297,0.4470086585451073,0.6972243623054297,0.4470086585451073,0.46910390545518116,0.7281603359113282,0.7885730864827001
9,1.585786441200983,0.6972243623191364,0.5963801237463646,0.6972243623054297,0.504966833920344,0.6972243623054297,0.504966833920344,0.46910390545518116,0.8771338029321444,0.8875452869969556
10,1.585786441244498,0.6972243623098707,0.7183235767220124,1.0000000000759777,0.5711830065349006,1.0000000000759777,0.5711830065349006,0.6168308795063043,0.9072080715941284,0.8875452869969556
11,1.6198979131964415,1.000000000649338,0.7183235767220124,1.0000000000490086,0.609778921332284,1.0000000000759777,0.609778921332284,0.6972243623054296,0.9451082770492487,1.000000000170137
12,1.7174938505320254,1.0000000006493377,0.7566823627653704,1.0000000000490086,0.6817250482413185,1.0000000000620757,0.6817250482413185,0.69722436230543,1.0000000003922918,1.000000000096535
13,2.000000001669641,1.0000000006493377,0.7729178075367918,1.0000000000490086,0.876190304159241,1.0000000000613147,0.876190304159241,0.69722436230543,1.0000000001146019,1.0000000000665432
14,2.000000001669641,1.0000000003971987,0.7752908291069405,1.0000000000487606,0.9300385424459119,1.0000000000613147,0.9300385424459119,0.69722436230543,1.000000000084234,1.0000000000665434
15,2.000000001669641,1.0000000003971987,0.7752908291069408,1.0000000000487606,0.942997604750956,1.0000000000613138,1.2855489480332847,0.69722436230543,1.0000000000833684,1.0000000000203575
16,2.000000001669641,1.0000000003971987,0.8976266785502971,1.0000000000487606,0.9791360151406767,1.0000000000613138,1.3424496784793267,0.69722436230543,1.319522974932553,1.0000000000226317
17,2.000000001669641,1.0000000003971987,1.0293567460164015,1.0000000000613125,1.523472918833067,1.0000000000236469,1.5090544490243916,1.000000000080947,1.325209647766222,1.0000000000205302
