k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.13761939999999995,0.00985400000000003,0.0048736000000000335,0.03735920000000004,0.03674220000000006,0.03711160000000002,0.041948899999999956,0.03455219999999981,0.042839199999999966,0.11247149999999984
2,0.3883013000000002,0.009584000000000037,0.0016310999999999964,0.02315199999999984,0.013605800000000112,0.02245229999999987,0.013549000000000033,0.01626989999999995,0.016939999999999955,0.05752859999999993
3,0.9573613000000001,0.008799099999999616,0.002228300000000072,0.028802499999999842,0.01565890000000003,0.028534800000000082,0.015919899999999654,0.020889100000000216,0.019048700000000363,0.05559279999999989
4,1.3923704999999997,0.006632500000000263,0.0029540999999992934,0.03415489999999988,0.01802149999999969,0.034827400000000175,0.018090400000000173,0.024832199999999638,0.021421899999999994,0.06373430000000013
5,2.2385352999999997,0.015866799999999515,0.006956599999999646,0.09610139999999934,0.053415199999999885,0.06839170000000028,0.02170760000000005,0.03127890000000022,0.02474509999999963,0.0679836999999992
6,3.4409030000000005,0.006598600000000232,0.004905700000000124,0.0463047999999997,0.0238826999999997,0.04536139999999911,0.02302030000000066,0.033976900000000754,0.028612500000001262,0.05173559999999888
7,4.734443799999999,0.006013400000000502,0.006218099999999893,0.05097959999999979,0.02584680000000006,0.051295899999999506,0.02610799999999891,0.0388080999999989,0.032907100000000966,0.059236399999999634
8,4.864723700000001,0.006183400000001171,0.004659700000001266,0.05859660000000133,0.029449799999998305,0.057060099999997504,0.02896339999999853,0.0440334,0.03958120000000065,0.05422189999999816
9,5.1017373,0.006163699999998329,0.004141000000000616,0.062178099999997016,0.03262009999999904,0.06158719999999818,0.03222600000000142,0.05093360000000047,0.05205490000000168,0.06023969999999679
10,6.188059300000003,0.00578959999999995,0.005340599999996698,0.06794299999999964,0.03622119999999995,0.06802390000000003,0.035923599999996725,0.06311050000000051,0.06892080000000078,0.06050359999999699
11,6.524326799999997,0.025310799999999745,0.005425899999998762,0.07333440000000024,0.039844099999996274,0.07460110000000242,0.04018339999999654,0.08212690000000578,0.1825363999999965,0.08765430000000407
12,6.929268399999998,0.023991399999999885,0.005876499999999396,0.07801729999999907,0.04472090000000151,0.07896270000000527,0.044536399999998366,0.07394730000000038,0.11273909999999887,0.05322830000000067
13,6.866283699999997,0.024749300000003416,0.0033378999999982284,0.08298010000000033,0.04896219999999829,0.0830216999999962,0.049116699999999014,0.08144680000000193,0.12290929999999634,0.05296239999999841
14,7.184124099999998,0.018222099999995578,0.003902099999997688,0.17719180000000279,0.1286006999999998,0.1919450999999981,0.09179179999999576,0.11196870000000558,0.13181139999999658,0.052754999999997665
15,7.477841600000005,0.016745399999990696,0.0029588999999958787,0.09325610000000495,0.05865160000000458,0.09284189999999626,0.05741810000000669,0.0906411999999932,0.142339199999995,0.05145880000000602
16,7.779313599999995,0.018941699999999173,0.004362399999990885,0.21293509999999571,0.10465999999999553,0.1740513999999962,0.09891469999999458,0.09854249999999354,0.14530470000001117,0.05230889999999988
17,7.983403299999992,0.016192799999998897,0.0036195999999932837,0.10219730000000027,0.06781749999998965,0.10098920000000078,0.06582209999999122,0.102641399999996,0.14972749999999735,0.05149710000000596
